numInterest,204
-23,35
-23,36
-23,37
-23,41
-23,42
-23,43
-23,44
-22,35
-22,36
-22,37
-22,38
-22,41
-22,42
-22,43
-22,44
-22,48
-22,49
-22,50
-22,51
-19,56
-18,56
-18,57
-17,56
-17,57
-16,56
-16,57
-15,56
-10,50
-10,51
-10,52
-10,53
-4,-13
-4,-12
-4,-11
-4,-10
-4,-9
-4,-8
-4,-3
-4,-2
-4,-1
-4,0
-4,1
-4,2
-3,-14
-3,-13
-3,-12
-3,-11
-3,-10
-3,-9
-3,-8
-3,-3
-3,-2
-3,-1
-3,0
-3,1
-3,2
-2,-106
-2,-105
-2,-104
-2,-103
-2,-102
-2,-101
-2,-100
-2,-99
-2,-98
-2,-97
-2,-96
-2,-95
-2,-94
-2,-93
-2,-92
-2,-91
-2,-90
-2,-89
-2,-88
-2,-87
-2,-86
-2,-85
-2,-84
-2,-83
-2,-82
-2,-81
-2,-80
-2,-79
-2,-8
-1,-106
-1,-105
-1,-104
-1,-103
-1,-102
-1,-101
-1,-100
-1,-99
-1,-98
-1,-97
-1,-96
-1,-95
-1,-94
-1,-93
-1,-92
-1,-91
-1,-90
-1,-89
-1,-88
-1,-87
-1,-86
-1,-85
-1,-84
-1,-83
-1,-82
-1,-81
-1,-80
-1,-79
0,-106
1,-106
1,-36
1,-35
1,-34
1,-33
1,-32
1,-23
1,-22
1,10
1,11
1,63
2,-106
2,-36
2,-35
2,-34
2,-33
2,-32
2,-23
2,-22
2,11
2,63
2,64
3,-106
3,-23
3,-22
3,11
3,23
3,24
3,25
3,26
3,27
3,63
3,64
4,-106
4,-23
4,-22
4,11
4,23
4,24
4,25
4,26
4,27
4,63
4,64
5,-106
5,-23
5,-22
5,11
5,63
5,64
6,-106
6,-83
6,-82
6,-81
6,-80
6,-23
6,-22
6,11
6,63
6,64
7,-106
7,-84
7,-83
7,-82
7,-81
7,-80
8,-106
9,-106
11,-14
11,-13
11,-12
11,-11
11,-10
11,-4
11,-3
11,-2
11,-1
11,0
12,-14
12,-13
12,-12
12,-11
12,-10
12,-9
12,-4
12,-3
12,-2
12,-1
12,0
12,1
